ID;NOMBRE;TIPO_C;COMUNA;BARRIO;CATEGORIA;TIPOLOGIA;LONG;FECHA;LIM_COM;LIM_BARRIO
150;PEDERNERA;CALLE;COMUNA 7;FLORES;CICLOVIA;BIDIRECCIONAL;0,96330737460;2017;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
151;CULPINA;CALLE;COMUNA 7;FLORES;CICLOVIA;BIDIRECCIONAL;0,93420034021;2017;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
152;CONSTITUCION;CALLE;COMUNA 1;CONSTITUCION;CICLOVIA;BIDIRECCIONAL;0,16493845800;2017;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
153;SANCHEZ DE LORIA;CALLE;COMUNA 3;BALVANERA;CICLOVIA;BIDIRECCIONAL;0,22879071918;2017;COMUNA 3/COMUNA 5;BALVANERA/ALMAGRO
154;VICTOR HUGO;CALLE;COMUNA 10;VILLA LURO;CICLOVIA;BIDIRECCIONAL;0,75667039843;2017;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
155;QUESADA;CALLE;COMUNA 13;NU├æEZ;CICLOVIA;BIDIRECCIONAL;0,06632817149;2018;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
156;LA PAMPA;CALLE;COMUNA 12;VILLA URQUIZA;CICLOVIA;BIDIRECCIONAL;1,21528529539;2013;COMUNA 12/COMUNA 15;VILLA URQUIZA/VILLA ORTUZAR
157;CONSTITUCION;CALLE;COMUNA 1;CONSTITUCION;CICLOVIA;BIDIRECCIONAL;0,27149488685;2018;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
158;ORO├æO, NICASIO;CALLE;COMUNA 15;LA PATERNAL;CICLOVIA;BIDIRECCIONAL;0,50974637693;2016;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
159;LAUTARO;CALLE;COMUNA 7;FLORES;CICLOVIA;BIDIRECCIONAL;0,25289572679;2017;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
160;CUBA;CALLE;COMUNA 13;NU├æEZ;CICLOVIA;BIDIRECCIONAL;0,14289969755;2017;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
161;SOLER;CALLE;COMUNA 14;PALERMO;CICLOVIA;BIDIRECCIONAL;0,28554963696;2018;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
162;HUMBOLDT;CALLE;COMUNA 14;PALERMO;CICLOVIA;BIDIRECCIONAL;0,08152559473;2018;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
163;OLLEROS;CALLE;COMUNA 13;COLEGIALES;CICLOVIA;BIDIRECCIONAL;0,21417982621;2018;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
164;AMENABAR;CALLE;COMUNA 13;COLEGIALES;CICLOVIA;BIDIRECCIONAL;0,20817907321;2018;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
165;MANSILLA, LUCIO NORBERTO, GRAL;CALLE;COMUNA 2;RECOLETA;CICLOVIA;BIDIRECCIONAL;0,81692354201;2019;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
166;FRAY CAYETANO RODRIGUEZ;CALLE;COMUNA 7;FLORES;CICLOVIA;BIDIRECCIONAL;0,61203403901;2020;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
167;SAN NICOLAS;CALLE;COMUNA 11;VILLA SANTA RITA;CICLOVIA;BIDIRECCIONAL;0,14130502562;2018;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
168;USPALLATA;CALLE;COMUNA 4;PARQUE PATRICIOS;CICLOVIA;BIDIRECCIONAL;0,94497004447;2015;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
